    31/50000: episode: 1, duration: 1.430s, episode steps: 31, steps per second: 22, episode reward: 31.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.419 [0.000, 1.000], mean observation: 0.013 [-1.185, 1.776], loss: 0.462173, mean_absolute_error: 0.520752, mean_q: 0.096439
 40969/50000: episode: 194, duration: 1.690s, episode steps: 284, steps per second: 168, episode reward: 284.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.482 [0.000, 1.000], mean observation: -0.252 [-2.407, 0.873], loss: 1.462054, mean_absolute_error: 47.803684, mean_q: 96.054482
 41377/50000: episode: 195, duration: 2.399s, episode steps: 408, steps per second: 170, episode reward: 408.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.485 [0.000, 1.000], mean observation: -0.174 [-2.419, 0.976], loss: 1.623854, mean_absolute_error: 47.707672, mean_q: 95.936607
 41698/50000: episode: 196, duration: 1.859s, episode steps: 321, steps per second: 173, episode reward: 321.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.511 [0.000, 1.000], mean observation: 0.227 [-1.241, 2.429], loss: 1.319257, mean_absolute_error: 47.606861, mean_q: 95.770569
 42059/50000: episode: 197, duration: 2.107s, episode steps: 361, steps per second: 171, episode reward: 361.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.507 [0.000, 1.000], mean observation: 0.207 [-1.758, 2.408], loss: 2.011116, mean_absolute_error: 47.350956, mean_q: 95.203133
 42365/50000: episode: 198, duration: 1.764s, episode steps: 306, steps per second: 173, episode reward: 306.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.510 [0.000, 1.000], mean observation: 0.238 [-1.365, 2.580], loss: 1.260025, mean_absolute_error: 47.351204, mean_q: 95.278770
 42649/50000: episode: 199, duration: 1.660s, episode steps: 284, steps per second: 171, episode reward: 284.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.511 [0.000, 1.000], mean observation: 0.258 [-1.599, 2.416], loss: 2.597933, mean_absolute_error: 47.093967, mean_q: 94.600410
 42993/50000: episode: 200, duration: 2.005s, episode steps: 344, steps per second: 172, episode reward: 344.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.517 [0.000, 1.000], mean observation: 0.213 [-1.281, 2.573], loss: 2.099523, mean_absolute_error: 46.920616, mean_q: 94.329498
 43329/50000: episode: 201, duration: 1.964s, episode steps: 336, steps per second: 171, episode reward: 336.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.503 [0.000, 1.000], mean observation: 0.217 [-1.211, 2.227], loss: 2.298967, mean_absolute_error: 47.179169, mean_q: 94.798912
 43647/50000: episode: 202, duration: 1.860s, episode steps: 318, steps per second: 171, episode reward: 318.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.506 [0.000, 1.000], mean observation: 0.245 [-1.420, 2.380], loss: 1.753959, mean_absolute_error: 46.971577, mean_q: 94.416206
 44059/50000: episode: 203, duration: 2.403s, episode steps: 412, steps per second: 171, episode reward: 412.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.512 [0.000, 1.000], mean observation: 0.184 [-1.459, 2.606], loss: 1.837437, mean_absolute_error: 46.690647, mean_q: 93.918037
 44441/50000: episode: 204, duration: 2.233s, episode steps: 382, steps per second: 171, episode reward: 382.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.510 [0.000, 1.000], mean observation: 0.191 [-1.217, 2.409], loss: 1.607076, mean_absolute_error: 46.796219, mean_q: 94.090050
 44892/50000: episode: 205, duration: 2.677s, episode steps: 451, steps per second: 168, episode reward: 451.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.506 [0.000, 1.000], mean observation: 0.177 [-1.463, 2.408], loss: 2.142886, mean_absolute_error: 46.900898, mean_q: 94.325615
 45163/50000: episode: 206, duration: 1.665s, episode steps: 271, steps per second: 163, episode reward: 271.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.509 [0.000, 1.000], mean observation: 0.277 [-1.690, 2.488], loss: 1.765902, mean_absolute_error: 46.480183, mean_q: 93.500969
 45585/50000: episode: 207, duration: 2.591s, episode steps: 422, steps per second: 163, episode reward: 422.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.509 [0.000, 1.000], mean observation: 0.176 [-1.435, 2.406], loss: 1.478169, mean_absolute_error: 46.604275, mean_q: 93.722473
 45898/50000: episode: 208, duration: 1.953s, episode steps: 313, steps per second: 160, episode reward: 313.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.505 [0.000, 1.000], mean observation: 0.232 [-1.425, 2.217], loss: 1.318926, mean_absolute_error: 46.489990, mean_q: 93.547142
 46241/50000: episode: 209, duration: 2.157s, episode steps: 343, steps per second: 159, episode reward: 343.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.516 [0.000, 1.000], mean observation: 0.229 [-1.433, 2.472], loss: 1.063287, mean_absolute_error: 46.423088, mean_q: 93.382996
 46741/50000: episode: 210, duration: 3.105s, episode steps: 500, steps per second: 161, episode reward: 500.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.504 [0.000, 1.000], mean observation: 0.126 [-1.478, 2.202], loss: 1.274049, mean_absolute_error: 46.570122, mean_q: 93.680641
 47241/50000: episode: 211, duration: 3.102s, episode steps: 500, steps per second: 161, episode reward: 500.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.504 [0.000, 1.000], mean observation: 0.060 [-1.213, 1.470], loss: 1.101146, mean_absolute_error: 46.607311, mean_q: 93.656494
 47741/50000: episode: 212, duration: 2.916s, episode steps: 500, steps per second: 171, episode reward: 500.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.502 [0.000, 1.000], mean observation: 0.011 [-0.841, 0.953], loss: 1.203750, mean_absolute_error: 46.974464, mean_q: 94.278389
 48159/50000: episode: 213, duration: 2.393s, episode steps: 418, steps per second: 175, episode reward: 418.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.507 [0.000, 1.000], mean observation: 0.111 [-1.406, 1.915], loss: 1.355174, mean_absolute_error: 46.697861, mean_q: 93.724747
 48569/50000: episode: 214, duration: 2.369s, episode steps: 410, steps per second: 173, episode reward: 410.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.512 [0.000, 1.000], mean observation: 0.186 [-1.337, 2.427], loss: 2.382211, mean_absolute_error: 46.784107, mean_q: 93.855431
 49069/50000: episode: 215, duration: 2.928s, episode steps: 500, steps per second: 171, episode reward: 500.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.500 [0.000, 1.000], mean observation: 0.013 [-1.115, 0.868], loss: 1.845368, mean_absolute_error: 46.287579, mean_q: 92.877846
 49569/50000: episode: 216, duration: 2.896s, episode steps: 500, steps per second: 173, episode reward: 500.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.500 [0.000, 1.000], mean observation: 0.009 [-1.143, 1.141], loss: 2.643433, mean_absolute_error: 46.639584, mean_q: 93.514778
